"(DOLCH) ""Tonight"" 10"" | Vinyl",(DOLCH),Tonight,Vinyl,
"Leprosy ""La Maldición"" MC | Cassette",Leprosy,La Maldición,Cassette,
"Lethal Infection ""The Chant of the Black Prophecies"" MC | Cassette",Lethal Infection,The Chant of the Black Prophecies,Cassette,
"Lethal Night ""Visions in the Night"" MC | Cassette",Lethal Night,Visions in the Night,Cassette,
"Lethal Presence ""Unholy Alliance"" MC | Cassette",Lethal Presence,Unholy Alliance,Cassette,
"Licentious ""Licentious"" Demo | Cassette",Licentious,Licentious,Cassette,
"Lilin ""Darkness Arise"" Demo | Cassette",Lilin,Darkness Arise,Cassette,
"Liturgy of Desecration ""Traverese the Threshold of Blasphemia"" MC | Cassette",Liturgy of Desecration,Traverese the Threshold of Blasphemia,Cassette,
"Lizzy Borden ""Master of Disguise"" MC | Cassette",Lizzy Borden,Master of Disguise,Cassette,
"Loath ""Primal Horde"" MC | Cassette",Loath,Primal Horde,Cassette,
"Lobotomy ""Against the Gods"" Demo | Cassette",Lobotomy,Against the Gods,Cassette,
"Lobotomy ""When Death Draws Near"" Demo | Cassette",Lobotomy,When Death Draws Near,Cassette,
"Lord Belial ""Enter The Moonlight Gate"" MC | Cassette",Lord Belial,Enter The Moonlight Gate,Cassette,
"Lord Belial ""Kiss the Goat"" MC | Cassette",Lord Belial,Kiss the Goat,Cassette,
"Lord Belial ""Unholy Crusade"" MC | Cassette",Lord Belial,Unholy Crusade,Cassette,
"Lord Kaos ""Thorns of Impurity"" MC | Cassette",Lord Kaos,Thorns of Impurity,Cassette,
"Lord of the End ""Lord of the End"" Demo | Cassette",Lord of the End,Lord of the End,Cassette,
"Lord Satanael ""Black Moon Prophecy"" Demo | Cassette",Lord Satanael,Black Moon Prophecy,Cassette,
"Lucubration ""Aspiration Of Corrupted Ancient Blood"" Demo | Cassette",Lucubration,Aspiration Of Corrupted Ancient Blood,Cassette,
"Lucubration ""Blood Massacre of the Anodyne"" Demo | Cassette",Lucubration,Blood Massacre of the Anodyne,Cassette,
"Lueur Spectrale ""Ce que l'On ne Voulait Voir"" Demo | Cassette",Lueur Spectrale,Ce que l'On ne Voulait Voir,Cassette,
"Luminous Transfixion ""Elevation Within the Mists of Naaltrah"" MC | Cassette",Luminous Transfixion,Elevation Within the Mists of Naaltrah,Cassette,
"Lust ""Holocaust Whore Hellslut"" Demo | Cassette",Lust,Holocaust Whore Hellslut,Cassette,
"Luzbel ""El Tiempo de la Bestia"" MC | Cassette",Luzbel,El Tiempo de la Bestia,Cassette,
"Luzbel ""¡¿Otra Vez?!"" MC | Cassette",Luzbel,¡¿Otra Vez?!,Cassette,
"Lydia Laska ""Krankenhaus"" MC | Cassette",Lydia Laska,Krankenhaus,Cassette,
"Magnanimus ""Impure Ways Beyond Shadows"" MC | Cassette",Magnanimus,Impure Ways Beyond Shadows,Cassette,
"Maléfices ""Rites Crvels"" Demo | Cassette",Maléfices,Rites Crvels,Cassette,
"Mälheür ""Nocturnal Forces"" Demo | Cassette",Mälheür,Nocturnal Forces,Cassette,
"Malhkebre ""B.A.M.N. Demo 2023"" Demo | Cassette",Malhkebre,B.A.M.N. Demo 2023,Cassette,
"Malicious Storm ""Forbidden Rites of the Black Arts"" MC | Cassette",Malicious Storm,Forbidden Rites of the Black Arts,Cassette,
"Malign Hex ""Putrescent Phantoms Of Life's Failure"" Demo | Cassette",Malign Hex,Putrescent Phantoms Of Life's Failure,Cassette,
"Manifesting ""Primeval Adulation"" Demo | Cassette",Manifesting,Primeval Adulation,Cassette,
"Mantra ""Desde Un Mundo Decadente"" MC | Cassette",Mantra,Desde Un Mundo Decadente,Cassette,
"Mantra ""Planeta Odio"" MC | Cassette",Mantra,Planeta Odio,Cassette,
"Mara ""Engendros Del Dragón (1976-1982)"" MC | Cassette",Mara,Engendros Del Dragón (1976-1982),Cassette,
"Marblebog ""Wind Of Moors"" MC | Cassette",Marblebog,Wind Of Moors,Cassette,
"Marduk ""Strigzscara - Warwolf Live 1993"" MC | Cassette",Marduk,Strigzscara - Warwolf Live 1993,Cassette,
"Mare ""Ebony Tower"" MC | Cassette",Mare,Ebony Tower,Cassette,
"Mare ""Spheres Like Death & Throne Of The Thirteenth Witch"" MC | Cassette",Mare,Spheres Like Death & Throne Of The Thirteenth Witch,Cassette,
"Martwa Aura ""Morbus Animus"" MC | Cassette",Martwa Aura,Morbus Animus,Cassette,
"Mass Kontrol Genocide ""Apocalypse"" MC | Cassette",Mass Kontrol Genocide,Apocalypse,Cassette,
"Massacred ""Brutal Murder"" MC | Cassette",Massacred,Brutal Murder,Cassette,
"Massacred ""Human Extermination"" MC | Cassette",Massacred,Human Extermination,Cassette,
"Massacred ""Skull Slayer"" MC | Cassette",Massacred,Skull Slayer,Cassette,
"Massacred ""The Devil's Awakening"" MC | Cassette",Massacred,The Devil's Awakening,Cassette,
"Massive Destruction ""Demo I 2020"" Demo | Cassette",Massive Destruction,Demo I 2020,Cassette,
"Mayhem ""Life Eternal"" MC (Demo Version of DMDS) | Cassette",Mayhem,Life Eternal,Cassette,
"Mayhem / Darkthrone ""The True Legends in Black"" Split MC | Cassette",Mayhem / Darkthrone,The True Legends in Black,Cassette,
"Mehenet ""Ng'ambu"" MC | Cassette",Mehenet,Ng'ambu,Cassette,
"Mein Töd ""Uncovering the Portal of Darkness"" Demo | Cassette",Mein Töd,Uncovering the Portal of Darkness,Cassette,
Melting Rot “Blood Delusions” MC | Cassette,Melting Rot,Blood Delusions,Cassette,
"Mental Casket ""Demo 2020"" Demo | Cassette",Mental Casket,Demo 2020,Cassette,
"Mental Devastation ""The Delusional Mystery Of The Self"" MC | Cassette",Mental Devastation,The Delusional Mystery Of The Self,Cassette,
"Mephistofeles ""The Live Anthology"" 6 x MC Boxset | Cassette",Mephistofeles,The Live Anthology,Cassette,
"Mephistofeles ""Violent Theatre"" MC | Cassette",Mephistofeles,Violent Theatre,Cassette,
"Mephorash ""Chalice of Thagirion"" MC | Cassette",Mephorash,Chalice of Thagirion,Cassette,
"Mephorash ""Death Awakens"" MC | Cassette",Mephorash,Death Awakens,Cassette,
"Mercyless ""The Mother Of All Plagues"" MC | Cassette",Mercyless,The Mother Of All Plagues,Cassette,
"Mercyless Hammer ""Demo MMXXII"" Demo | Cassette",Mercyless Hammer,Demo MMXXII,Cassette,
"Meslamtaea ""New Era"" MC | Cassette",Meslamtaea,New Era,Cassette,
"Messe De Minuit ""Invocation"" Demo | Cassette",Messe De Minuit,Invocation,Cassette,
"Mindkult ""Lucifer's Dream"" MC | Cassette",Mindkult,Lucifer's Dream,Cassette,
"Mirk ""Of Spirit And Blood"" Demo (Asgard Musik) | Cassette",Mirk,Of Spirit And Blood,Cassette,
"Misanthropic Aggression ""Inability To Cope"" Demo | Cassette",Misanthropic Aggression,Inability To Cope,Cassette,
"Mischievous Wraith ""Hemlock & Belladona"" Demo | Cassette",Mischievous Wraith,Hemlock & Belladona,Cassette,
"Mitternacht ""Blasphemous Warfare"" MC | Cassette",Mitternacht,Blasphemous Warfare,Cassette,
"Moenos ""Call From the Grave III"" Demo (Satanic Noise) | Cassette",Moenos,Call From the Grave III,Cassette,
"Moiscus ""Idiomorphic Practices"" MC | Cassette",Moiscus,Idiomorphic Practices,Cassette,
"Molested ""Blod-Draum"" MC | Cassette",Molested,Blod-Draum,Cassette,
"Mons Veneris ""Sibilando com o Mestre Negro"" MC | Cassette",Mons Veneris,Sibilando com o Mestre Negro,Cassette,
"Monstraat ""Monstraat"" MC | Cassette",Monstraat,Monstraat,Cassette,
"Monstraat ""The One Eternal"" MC | Cassette",Monstraat,The One Eternal,Cassette,
"Moonknight ""Discernment"" MC | Cassette",Moonknight,Discernment,Cassette,
"Moonlight Sorcery ""Nightwind: The Conqueror from the Stars"" MC | Cassette",Moonlight Sorcery,Nightwind: The Conqueror from the Stars,Cassette,
"Morbid Macabre ""Damn Goat"" MC | Cassette",Morbid Macabre,Damn Goat,Cassette,
"Morbid Sphere ""Arcana"" MC | Cassette",Morbid Sphere,Arcana,Cassette,
"Morbid Sphere ""Demo II"" Demo | Cassette",Morbid Sphere,Demo II,Cassette,
"Morbius ""1st Demo"" Demo | Cassette",Morbius,1st Demo,Cassette,
"Morbius ""2nd Demo"" Demo | Cassette",Morbius,2nd Demo,Cassette,
"Mörghuul ""Domination of the Beast"" MC | Cassette",Mörghuul,Domination of the Beast,Cassette,
"Morte Sacra ""Ruina Humana Pestis"" MC | Cassette",Morte Sacra,Ruina Humana Pestis,Cassette,
"Mortify ""Grotesque Buzzsaw Defilement"" MC | Cassette",Mortify,Grotesque Buzzsaw Defilement,Cassette,
"Mortiis ""The Shadow of the Tower"" MC | Cassette",Mortiis,The Shadow of the Tower,Cassette,
"Mortuary ""Blackened Images"" MC | Cassette",Mortuary,Blackened Images,Cassette,
"Mortuus Umbra ""Catechism"" MC | Cassette",Mortuus Umbra,Catechism,Cassette,
"Mourner ""Mourner"" MCD | Cassette",Mourner,Mourner,Cassette,
"Mournful Moon ""Rose Velvet Dynasty"" MC | Cassette",Mournful Moon,Rose Velvet Dynasty,Cassette,
"Mouth of Madness ""Mouth of Madness"" Demo | Cassette",Mouth of Madness,Mouth of Madness,Cassette,
"Mróz ""Charnel Ground"" MC | Cassette",Mróz,Charnel Ground,Cassette,
"Mucous ""Resplendent Ooze"" MC | Cassette",Mucous,Resplendent Ooze,Cassette,
"Murg ""Gudatall"" MC | Cassette",Murg,Gudatall,Cassette,
"Murg ""Strävan"" MC | Cassette",Murg,Strävan,Cassette,
"Muscipula ""Little Chasm of Horrors"" MC | Cassette",Muscipula,Little Chasm of Horrors,Cassette,
"Mycelium ""Mycoticism: Disseminating the Propagules"" MC | Cassette",Mycelium,Mycoticism: Disseminating the Propagules,Cassette,
"Mythical ""Under Mayhemic Dethronement"" Demo | Cassette",Mythical,Under Mayhemic Dethronement,Cassette,
"Mythrim ""Absurditas in Nihilum"" Demo | Cassette",Mythrim,Absurditas in Nihilum,Cassette,
"Nächtlich ""Satanas Solum Initium Est"" MC | Cassette",Nächtlich,Satanas Solum Initium Est,Cassette,
"Nafarmaan ""Quayamat Lullaby"" Demo | Cassette",Nafarmaan,Quayamat Lullaby,Cassette,
"Nagajna Gespato ""The Pit"" Demo | Cassette",Nagajna Gespato,The Pit,Cassette,
"Nagel ""Hel op Aarde"" Demo | Cassette",Nagel,Hel op Aarde,Cassette,
"Naḥš ""Ad Inferos Ascensionis"" MC | Cassette",Naḥš,Ad Inferos Ascensionis,Cassette,
"Namtar / Dead Christ Cult ""In Hell... Through Pain... And Death"" Split Demo | Cassette",Namtar / Dead Christ Cult,In Hell... Through Pain... And Death,Cassette,
"Naramedha ""Cauterize"" Demo (GoatowaRex) | Cassette",Naramedha,Cauterize,Cassette,
"Narrow Grave ""Under the Earth"" Demo | Cassette",Narrow Grave,Under the Earth,Cassette,
"Nasty Savage ""Wage of Mayhem + Rarities"" MC | Cassette",Nasty Savage,Wage of Mayhem + Rarities,Cassette,
"Nauthis ""The Almighty - Demo 1994"" Demo | Cassette",Nauthis,The Almighty - Demo 1994,Cassette,
"Navalum ""Navalum"" Demo | Cassette",Navalum,Navalum,Cassette,
"NB-604 ""One Day of Psychopatmetal in Hell"" Demo | Cassette",NB-604,One Day of Psychopatmetal in Hell,Cassette,
"Necro Orgy ""Demo 2020"" Demo | Cassette",Necro Orgy,Demo 2020,Cassette,
"Necroblood / Psychomorphis ""The Lurking Horror/Amorphous Chaos"" Split MC | Cassette",Necroblood / Psychomorphis,The Lurking Horror/Amorphous Chaos,Cassette,
"Necrodeity ""Death Over Kalikshetra"" Demo | Cassette",Necrodeity,Death Over Kalikshetra,Cassette,
"Necrodeity ""Left Emanations"" Demo | Cassette",Necrodeity,Left Emanations,Cassette,
"Necromantic Worship ""Rites of Resurrection"" MC | Cassette",Necromantic Worship,Rites of Resurrection,Cassette,
"Necrophoros ""Summon the Power of Primal Darkness"" Demo | Cassette",Necrophoros,Summon the Power of Primal Darkness,Cassette,
"Necropolissebeht ""TTCCCLXXX"" MC | Cassette",Necropolissebeht,TTCCCLXXX,Cassette,
"Necropsia ""Live Satanized"" MC | Cassette",Necropsia,Live Satanized,Cassette,
"Necrowinds ""The Four Offerings"" Demo | Cassette",Necrowinds,The Four Offerings,Cassette,
"Necuratul ""Sanguine Lupus Graves"" Demo | Cassette",Necuratul,Sanguine Lupus Graves,Cassette,
"Neil Merryweather & the Space Rangers ""Kryptonite"" MC | Cassette",Neil Merryweather & the Space Rangers,Kryptonite,Cassette,
"Neil Merryweather & the Space Rangers ""Space Rangers"" MC | Cassette",Neil Merryweather & the Space Rangers,Space Rangers,Cassette,
"Nekrape ""Nekrape"" Demo | Cassette",Nekrape,Nekrape,Cassette,
"Nekroholocaust ""In Memories of Fire"" MC | Cassette",Nekroholocaust,In Memories of Fire,Cassette,
"Nekus ""Death Nova Upon The Barren Harvest"" MC | Cassette",Nekus,Death Nova Upon The Barren Harvest,Cassette,
"Nemesis ""Demo .:."" Demo | Cassette",Nemesis,Demo .:.,Cassette,
"Nemesis ""Live As Trio At Mol XVI 2005"" MC | Cassette",Nemesis,Live As Trio At Mol XVI 2005,Cassette,
"Nettlecarrier ""Black Coffin Rites"" MC | Cassette",Nettlecarrier,Black Coffin Rites,Cassette,
"Next ""... Y Los Restos"" MC | Cassette",Next,... Y Los Restos,Cassette,
"Next ""En Concierto"" MC | Cassette",Next,En Concierto,Cassette,
"Next ""Invasión Nuclear"" MC | Cassette",Next,Invasión Nuclear,Cassette,
"Niaisny ""U Zmroku i Cieniu Smiarotnym"" Demo | Cassette",Niaisny,U Zmroku i Cieniu Smiarotnym,Cassette,
"Nidhöggr ""Turn to Ash"" MC | Cassette",Nidhöggr,Turn to Ash,Cassette,
"Nidsang ""Nidsang"" Demo | Cassette",Nidsang,Nidsang,Cassette,
"Nigrum ""Elevenfold Tail"" MC | Cassette",Nigrum,Elevenfold Tail,Cassette,
"Nihil Invocation ""Chthonian Twilight Ritual"" MC | Cassette",Nihil Invocation,Chthonian Twilight Ritual,Cassette,
"Nihil Nihil Nihil ""Dance the End"" MC | Cassette",Nihil Nihil Nihil,Dance the End,Cassette,
"Ninhursag ""Azurascension"" MC | Cassette",Ninhursag,Azurascension,Cassette,
"Nocturnacul ""The Sanguinary Offering"" MC | Cassette",Nocturnacul,The Sanguinary Offering,Cassette,
"Nocturnal Breed ""Aggressor"" MC | Cassette",Nocturnal Breed,Aggressor,Cassette,
"Nocturnal Vomit / Crucifre ""Vomiting Blasphemies Upon the Mass Graves of Jehovha's Worshippers"" Split MC | Cassette",Nocturnal Vomit / Crucifre,Vomiting Blasphemies Upon the Mass Graves of Jehovha's Worshippers,Cassette,
"Nöldr ""Misanthropic Forest"" Demo | Cassette",Nöldr,Misanthropic Forest,Cassette,
"North ""Promo Reh. '94"" Demo | Cassette",North,Promo Reh. '94,Cassette,
"Nosferion ""A Southern Scouring"" MC | Cassette",Nosferion,A Southern Scouring,Cassette,
"Nosoforos ""Deathmotionvessel"" Demo | Cassette",Nosoforos,Deathmotionvessel,Cassette,
"Nosophoros ""Alone in Cryptic Labyrinths"" Demo | Cassette",Nosophoros,Alone in Cryptic Labyrinths,Cassette,
"Noxen ""Ogmios"" Demo | Cassette",Noxen,Ogmios,Cassette,
"Noxen / Lueur Spectrale ""Diary Of A Schizoid"" MC | Cassette",Noxen / Lueur Spectrale,Diary Of A Schizoid,Cassette,
"Noxius Nex ""Sola Dosis Facit Venenum"" Demo | Cassette",Noxius Nex,Sola Dosis Facit Venenum,Cassette,
"Nözaakr ""Sanguinem Nebula"" Demo | Cassette",Nözaakr,Sanguinem Nebula,Cassette,
"Nuclear Death ""A Symphony of Nuclear Death"" 6 x MC Boxset | Cassette",Nuclear Death,A Symphony of Nuclear Death,Cassette,
"Nuclear Death Terror ""Chaos Reigns"" MC | Cassette",Nuclear Death Terror,Chaos Reigns,Cassette,
"Nuclear Stench ""The Spiritual Simulation Chaotical Collapse"" MC | Cassette",Nuclear Stench,The Spiritual Simulation Chaotical Collapse,Cassette,
"Null ""Entity"" MC | Cassette",Null,Entity,Cassette,
"Obituary ""World Demise"" MC (South Korean Edition) | Cassette",Obituary,World Demise,Cassette,
"Obscene "" From Dead Horizon​.​.​.​To Dead Horizon"" MC | Cassette",Obscene, From Dead Horizon​.​.​.​To Dead Horizon,Cassette,
"Obsequies ""Advance Promo 2021"" Demo (GoatowaRex) | Cassette",Obsequies,Advance Promo 2021,Cassette,
"Obsequies ""Demo 2020"" Demo (GoatowaRex) | Cassette",Obsequies,Demo 2020,Cassette,
"Obskuritatem ""U mrak iz Mraka"" MC | Cassette",Obskuritatem,U mrak iz Mraka,Cassette,
"Oci Vlka ""Demo"" Demo | Cassette",Oci Vlka,Demo,Cassette,
"Ofermod ""Tiamtü"" MC | Cassette",Ofermod,Tiamtü,Cassette,
"Offensive ""S/T"" Demo | Cassette",Offensive,S/T,Cassette,
"Oksennus ""Oksennus Verinen Oksennus"" MC | Cassette",Oksennus,Oksennus Verinen Oksennus,Cassette,
"Oksennus ""Työn Orjat Sorron Yöstä Nouskaa"" Demo | Cassette",Oksennus,Työn Orjat Sorron Yöstä Nouskaa,Cassette,
"Old Tower ""Draconic Synthesis"" MC | Cassette",Old Tower,Draconic Synthesis,Cassette,
"Omen Filth / Ceremonial Worship ""The Pact of Morbid Conspiracy"" Split MC | Cassette",Omen Filth / Ceremonial Worship,The Pact of Morbid Conspiracy,Cassette,
"Omenfilth ""Devourer of the Seven Moons"" MC | Cassette",Omenfilth,Devourer of the Seven Moons,Cassette,
"Omenfilth ""Possessed by the Pentacle Spell"" MC | Cassette",Omenfilth,Possessed by the Pentacle Spell,Cassette,
"One Master ""The Names of Power"" MC | Cassette",One Master,The Names of Power,Cassette,
"Opferblut ""Opferblut"" Demo | Cassette",Opferblut,Opferblut,Cassette,
"Ophicvs ""Azrever ne Alemamam"" MC | Cassette",Ophicvs,Azrever Ne Alemamam,Cassette,
"Opium Grave ""White Sky"" Demo | Cassette",Opium Grave,White Sky,Cassette,
"Opposite Devotion ""Black Divinity"" MC | Cassette",Opposite Devotion,Black Divinity,Cassette,
"Order of Darkness ""Rehearsal"" Demo | Cassette",Order of Darkness,Rehearsal,Cassette,
"Ordo Omegae Absolute ""Compendium Ordinis"" MC | Cassette",Ordo Omegae Absolute,Compendium Ordinis,Cassette,
"ORDO SANGUINIS NOCTIS ""BLOODY AEON OF FULLMOON SACRIFICES"" MC | Cassette",ORDO SANGUINIS NOCTIS,BLOODY AEON OF FULLMOON SACRIFICES,Cassette,
"Ordo Sanguinis Noctis ""Chthonic Blood Mysteries"" Demo | Cassette",ORDO SANGUINIS NOCTIS,Chthonic Blood Mysteries,Cassette,
"Ördög ""Ov Rapist's Endless Torment"" Demo | Cassette",Ördög,Ov Rapist's Endless Torment,Cassette,
"Orlok's Mourning ""A Black Incantation Upon His Kingdom"" MC | Cassette",Orlok's Mourning,A Black Incantation Upon His Kingdom,Cassette,
"Ossario ""Ossario"" MC | Cassette",Ossario,Ossario,Cassette,
"Ossements ""Ossements III/IV"" MC | Cassette",Ossements,Ossements III/IV,Cassette,
"Ossements ""Ossements V/VI"" MC | Cassette",Ossements,Ossements V/VI,Cassette,
"Ossements ""Ossements"" Demo | Cassette",Ossements,Ossements,Cassette,
"Ossuaire ""Premiers / Derniers Chants"" Double MC | Cassette",Ossuaire,Premiers / Derniers Chants,Cassette,
"P.L.F. ""Pulverizing Lethal Force"" MC | Cassette",P.L.F.,Pulverizing Lethal Force,Cassette,
"Padnakjuune ""Demo 1"" Demo | Cassette",Padnakjuune,Demo 1,Cassette,
"Pagan Rites ""Mark of the Devil"" MC | Cassette",Pagan Rites,Mark of the Devil,Cassette,
"Pale Mist ""Spreading My Wings into the Abyss that Calls"" MC | Cassette",Pale Mist,Spreading My Wings Into the Abyss That Calls,Cassette,
"Pale Mist ""Through the Labyrinth and into Connectivity"" MC (GoatowaRex) | Cassette",Pale Mist,Through the Labyrinth and into Connectivity,Cassette,
"Pale Spektre ""Bereft of Xerotic Layers"" MC | Cassette",Pale Spektre,Bereft of Xerotic Layers,Cassette,
"Pandiscordian Necrogenesis ""Elohim Glowing Bile"" MC | Cassette",Pandiscordian Necrogenesis,Elohim Glowing Bile,Cassette,
"Panzerwar & Lungtoucher ""The Battle of Jórvík"" MC | Cassette",Panzerwar & Lungtoucher,The Battle of Jórvík,Cassette,
"Paranoia Apparition ""Phantasmic Visions"" MC | Cassette",Paranoia Apparition,Phantasmic Visions,Cassette,
"Paranoia Apparition ""Phantasmic Visions"" MC | Cassette",Paranoia Apparition,Phantasmic Visions,Cassette,
"Parasite Dreams ""Self Centered And Too Late"" MC | Cassette",Parasite Dreams,Self Centered And Too Late,Cassette,
"Parkcrest ""Mental Discharge"" Demo | Cassette",Parkcrest,Mental Discharge,Cassette,
"Passage ""Passage"" MC | Cassette",Passage,Passage,Cassette,
"Pathetica ""I"" MC | Cassette",Pathetica,I,Cassette,
"Patibulum ""Ninurta's Call Heeded"" Demo | Cassette",Patibulum,Ninurta's Call Heeded,Cassette,
"Paul Chain ""Ash"" MC | Cassette",Paul Chain,Ash,Cassette,
"Peasant / Somalgia ""Within, Without"" MC | Cassette",Peasant / Somalgia,"Within, Without",Cassette,
"Perdizione ""Descend Without Fortune"" Demo | Cassette",Perdizione,Descend Without Fortune,Cassette,
"Permanent Disfigurement ""Demo 1"" Demo | Cassette",Permanent Disfigurement,Demo 1,Cassette,
"Perversor ""Psicomoro"" MC | Cassette",Perversor,Psicomoro,Cassette,
"Pestschwadron ""Im Auftrag Gegen Den Herrn"" Demo | Cassette",Pestschwadron,Im Auftrag Gegen Den Herrn,Cassette,
"Peversor / Isengoat ""Perverso Dios Chivo"" Split MC | Cassette",Peversor / Isengoat,Perverso Dios Chivo,Cassette,
"Phenocryst ""Explosions"" MC | Cassette",Phenocryst,Explosions,Cassette,
"Phibesau ""Forbidden Psychic Ritual"" Demo (Infinite Wisdom Productions) | Cassette",Phibesau,Forbidden Psychic Ritual,Cassette,
"Phobia (Norway) ""Slaughterhouse Tapes"" MC (Pre-Enslaved DM) | Cassette",Phobia (Norway),Slaughterhouse Tapes,Cassette,
"Phobonoid ""Phobonoid"" MC | Cassette",Phobonoid,Phobonoid,Cassette,
"Piledriver ""Metal Inquisition"" MC | Cassette",Piledriver,Metal Inquisition,Cassette,
"Pious Levus ""Beast of the Foulest Depths​/​Bolt of Satanic Might"" MC | Cassette",Pious Levus,Beast of the Foulest Depths​/​Bolt of Satanic Might,Cassette,
